uptake,kappa,r0,N_isolates,f_required,rate_required_per100k,pct_of_males_required,multiples_of_densest_US,achievable
0.35,5.0,0.13,10000,0.2440380213105635,27890.059578350116,27.890059578350115,10.352657601466264,False
0.35,5.0,0.13,100000,0.077171598302209,8819.611234538172,8.819611234538172,3.273797785648913,False
0.55,1.0,0.05,1000,1.300308331859504,472839.39340345596,472.839393403456,175.5157362299391,False
0.55,1.0,0.05,10000,0.4111935989170121,149524.94506073167,149.52494506073168,55.50294916879424,False
0.55,1.0,0.05,100000,0.13003083318595038,47283.93934034559,47.28393934034559,17.55157362299391,False
0.55,1.0,0.1,1000,0.8949335706346624,325430.3893216954,325.4303893216954,120.7982142990703,False
0.55,1.0,0.1,10000,0.28300284377527124,102910.12500918953,102.91012500918953,38.19974944661824,False
0.55,1.0,0.1,100000,0.08949335706346623,32543.038932169537,32.54303893216954,12.07982142990703,False
0.55,1.0,0.13,1000,0.7717159830220899,280623.9938262145,280.62399382621453,104.16629317973813,False
0.55,1.0,0.13,10000,0.2440380213105635,88741.09865838673,88.74109865838673,32.94027418648357,False
0.55,1.0,0.13,100000,0.077171598302209,28062.399382621454,28.062399382621454,10.416629317973813,False
0.55,3.0,0.05,1000,1.300308331859504,157613.1311344853,157.61313113448531,58.50524540997969,False
0.55,3.0,0.05,10000,0.4111935989170121,49841.64835357723,49.84164835357723,18.500983056264747,False
0.55,3.0,0.05,100000,0.13003083318595038,15761.31311344853,15.76131311344853,5.85052454099797,False
0.55,3.0,0.1,1000,0.8949335706346624,108476.79644056511,108.47679644056511,40.26607143302343,False
0.55,3.0,0.1,10000,0.28300284377527124,34303.37500306318,34.30337500306318,12.733249815539413,False
0.55,3.0,0.1,100000,0.08949335706346623,10847.679644056512,10.847679644056512,4.026607143302343,False
0.55,3.0,0.13,1000,0.7717159830220899,93541.33127540484,93.54133127540484,34.72209772657938,False
0.55,3.0,0.13,10000,0.2440380213105635,29580.366219462245,29.580366219462245,10.980091395494522,False
0.55,3.0,0.13,100000,0.077171598302209,9354.133127540485,9.354133127540484,3.472209772657938,False
0.55,5.0,0.05,1000,1.300308331859504,94567.8786806912,94.5678786806912,35.10314724598782,False
0.55,5.0,0.05,10000,0.4111935989170121,29904.989012146336,29.904989012146334,11.100589833758848,False
0.55,5.0,0.05,100000,0.13003083318595038,9456.78786806912,9.456787868069119,3.510314724598782,False
0.55,5.0,0.1,1000,0.8949335706346624,65086.07786433908,65.08607786433907,24.15964285981406,False
0.55,5.0,0.1,10000,0.28300284377527124,20582.02500183791,20.58202500183791,7.639949889323648,False
0.55,5.0,0.1,100000,0.08949335706346623,6508.607786433908,6.508607786433908,2.415964285981406,False
0.55,5.0,0.13,1000,0.7717159830220899,56124.79876524291,56.12479876524291,20.833258635947626,False
0.55,5.0,0.13,10000,0.2440380213105635,17748.21973167735,17.74821973167735,6.588054837296714,False
0.55,5.0,0.13,100000,0.077171598302209,5612.479876524291,5.612479876524291,2.083325863594763,False
